"Нумерация";"Товар 1С";"Артикул";"Цена 1С (руб)";"Маркетплейс";"Название на маркетплейсе";"Цена конкурента (руб)";"Разница (руб)";"Совпадение (%)";"Отзывов";"Рейтинг";"Ссылка"
"27";"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Avito";"Ботинки FXR Helium Dual BOA с утеплителем (Black/S в Москве";"44000.0";"-12650.0";"86.0";"123";"5.0";"https://www.avito.ru/moskva/zapchasti_i_aksessuary/botinki_fxr_helium_dual_boa_s_uteplitelem_blacks_4332612072"
"28";"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Avito";"Ботинки FXR Helium Dual BOA с утеплителем (Black/S в Москве";"44000.0";"-12650.0";"86.0";"123";"5.0";"https://www.avito.ru/moskva/zapchasti_i_aksessuary/botinki_fxr_helium_dual_boa_s_uteplitelem_blacks_4332612072"
"29";"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Avito";"Снегоходные ботинки FXR Backshift BOA в Барнауле";"36000.0";"-20650.0";"85.0";"51";"5.0";"https://www.avito.ru/barnaul/zapchasti_i_aksessuary/snegohodnye_botinki_fxr_backshift_boa_4479614921"
"30";"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Avito";"Ботинки снегоходные FXR Backshift BOA Black утепл в Черкесске";"54200.0";"-2450.0";"85.0";"1478";"5.0";"https://www.avito.ru/cherkessk/zapchasti_i_aksessuary/botinki_snegohodnye_fxr_backshift_boa_black_utepl_1927942902"
"31";"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Avito";"Ботинки FXR Helium Dual BOA Black в Санкт-Петербурге";"55490.0";"-1160.0";"73.0";"256";"4.8";"https://www.avito.ru/sankt-peterburg/zapchasti_i_aksessuary/botinki_fxr_helium_dual_boa_black_2227811887"
"32";"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Avito";"Ботинки FXR Helium Dual BOA Black в Санкт-Петербурге";"55490.0";"-1160.0";"73.0";"256";"4.8";"https://www.avito.ru/sankt-peterburg/zapchasti_i_aksessuary/botinki_fxr_helium_dual_boa_black_2227811887"
"33";"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Avito";"Ботинки FXR Elevation Dual BOA с утеп. разм.45(11) в Томске";"64050.0";"7400.0";"73.0";"290";"5.0";"https://www.avito.ru/tomsk/zapchasti_i_aksessuary/botinki_fxr_elevation_dual_boa_s_utep._razm.4511_2751338978"
"34";"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Avito";"Ботинки FXR Helium BOA Black/Rust/Gold в Санкт-Петербурге";"49000.0";"-7650.0";"72.0";"256";"4.8";"https://www.avito.ru/sankt-peterburg/zapchasti_i_aksessuary/botinki_fxr_helium_boa_blackrustgold_2227772853"
"35";"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Avito";"Ботинки FXR Helium BOA Black/Hi Vis в Санкт-Петербурге";"49050.0";"-7600.0";"72.0";"256";"4.8";"https://www.avito.ru/sankt-peterburg/zapchasti_i_aksessuary/botinki_fxr_helium_boa_blackhi_vis_2227586171"
"36";"Ботинки FXR Elevation Dual BOA с утеплителем";"_Ботинки_FXR_Ele";"64100.0";"Avito";"Ботинки FXR Elevation Dual BOA с утеплителем в Тюмени";"63642.0";"-458.0";"100.0";"1226";"4.8";"https://www.avito.ru/tyumen/zapchasti_i_aksessuary/botinki_fxr_elevation_dual_boa_s_uteplitelem_2053309429"
